facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa
114010010;146;914;1006;9900090000;852;290;1001200;10004;-11650.0
114010010;146;914;1006;9900090000;852;291;1001200;10004;11650.0
114010010;146;914;1006;9900090000;853;290;1001200;10004;-8350.0
114010010;146;914;1006;9900090000;853;291;1001200;10004;8350.0
106010270;146;906;709;4580012000;244;340;1001302;10004;-38494.5
106010270;146;906;709;4580012000;244;340;1001302;10998;38494.5
110010010;146;910;409;6100020000;244;225;1002000;10057;-5749977.75
110010010;146;910;409;6100020000;244;225;1002000;10998;5749977.75
109010010;146;909;501;9900090000;831;290;1002000;10004;-3300.0
109010010;146;909;501;9900090000;831;296;1002000;10004;3300.0
